STA	TYPE	START	STOP	LON	LAT	NETID	NATFREQ	DAMPING	SEN	RECSEN	GAIN	COMPONENT	PAZFILE		
#ARMA	B	20040319	20071119	151.6293	-30.4183	AU	-12345	-12345	2479160644	1	1	BHN	cmg-3t-ARMA.paz		
ARMA	B	19940626	20040319	151.6293	-30.4183	AU	-12345	-12345	1504.2	3276.8	16	BHE	cmg-3t-100s.paz	# BBox - gain unknown	
ARMA	B	19940626	20040319	151.6293	-30.4183	AU	-12345	-12345	1504.2	3276.8	16	BHN	cmg-3t-100s.paz		
ARMA	B	19940626	20040319	151.6293	-30.4183	AU	-12345	-12345	1504.2	3276.8	16	BHZ	cmg-3t-100s.paz		
ARMA	B	19940626	20040319	151.6293	-30.4183	AU	-12345	-12345	1504.2	3276.8	16	SHE	cmg-3t-100s.paz	# BBox - gain unknown - incorrect chan name	
ARMA	B	19940626	20040319	151.6293	-30.4183	AU	-12345	-12345	1504.2	3276.8	16	SHN	cmg-3t-100s.paz		
ARMA	B	19940626	20040319	151.6293	-30.4183	AU	-12345	-12345	1504.2	3276.8	16	SHZ	cmg-3t-100s.paz		
ARMA	B	20040319	20041017	151.628	-30.4198	AU	-12345	-12345	1504.2	49938	1	BHE	cmg-3t-100s.paz	# GDAS	
ARMA	B	20040319	20041017	151.628	-30.4198	AU	-12345	-12345	1504.2	49938	1	BHN	cmg-3t-100s.paz		
ARMA	B	20040319	20041017	151.628	-30.4198	AU	-12345	-12345	1504.2	49938	1	BHZ	cmg-3t-100s.paz		
ARMA	B	20041028	20071118	151.628	-30.4198	AU	-12345	-12345	808.83	49938	4	BHE	cmg-40t-60s.paz	# GDAS	
ARMA	B	20041028	20071118	151.628	-30.4198	AU	-12345	-12345	809.03	49938	4	BHN	cmg-40t-60s.paz		
ARMA	B	20041028	20071118	151.628	-30.4198	AU	-12345	-12345	808.42	49938	4	BHZ	cmg-40t-60s.paz		
ARMA	B	20071119	25990101	151.6293	-30.4183	AU	-12345	-12345	1494.04	1677721.6	1	BHZ	sts2-g3.paz		
ARMA	B	20071119	25990101	151.6293	-30.4183	AU	-12345	-12345	1494.04	1677721.6	1	BHE	sts2-g3.paz		
ARMA	B	20071119	25990101	151.6293	-30.4183	AU	-12345	-12345	1494.04	1677721.6	1	BHN	sts2-g3.paz		
