STA	TYPE	START	STOP	LON	LAT	NETID	NATFREQ	DAMPING	SEN	RECSEN	GAIN	COMPONENT	PAZFILE		
AUBUS	H	20120906	25991231	115.3828	-33.6601	S1	-12345	-12345	2398.8	1011120	1	EHZ	cmg-6t-d.paz		
AUCAS	H	20130826	25991231	135.7219	-34.2637	S1	-12345	-12345	2395.2	1038420	1	HHE	cmg-6t-30s.paz		
AUCAS	H	20130826	25991231	135.7219	-34.2637	S1	-12345	-12345	2394	1037340	1	HHN	cmg-6t-30s.paz		
AUCAS	H	20130826	25991231	135.7219	-34.2637	S1	-12345	-12345	2390.2	1039500	1	HHZ	cmg-6t-30s.paz		
AUCAR	H	20130910	25991231	113.6586	-24.8851	S1	-12345	-12345	2393.2	1040580	1	HHE	cmg-6t-30s.paz		
AUCAR	H	20130910	25991231	113.6586	-24.8851	S1	-12345	-12345	2395.2	1039500	1	HHN	cmg-6t-30s.paz		
AUCAR	H	20130910	25991231	113.6586	-24.8851	S1	-12345	-12345	2397.8	1038420	1	HHZ	cmg-6t-30s.paz		
AUCAR	H	20130910	25991231	113.6586	-24.8851	S1	-12345	-12345	2393.2	1040580	1	EHE	cmg-6t-30s.paz		
AUCAR	H	20130910	25991231	113.6586	-24.8851	S1	-12345	-12345	2395.2	1039500	1	EHN	cmg-6t-30s.paz		
AUCAR	H	20130910	25991231	113.6586	-24.8851	S1	-12345	-12345	2397.8	1038420	1	EHZ	cmg-6t-30s.paz		
AUDAR	H	20120411	25991231	149.1377	-35.253	S1	-12345	-12345	2382.4	1020410	1	HHE	cmg-6t-30s.paz		
AUDAR	H	20120411	25991231	149.1377	-35.253	S1	-12345	-12345	2369.6	1023540	1	HHN	cmg-6t-30s.paz		
AUDAR	H	20120411	25991231	149.1377	-35.253	S1	-12345	-12345	2374	1018330	1	HHZ	cmg-6t-30s.paz		
AUDHS	H	20150824	25991231	130.833	-12.44	S1	-12345	-12345	2399.6	1046030	1	HHE	cmg-6t-30s.paz		
AUDHS	H	20150824	25991231	130.833	-12.44	S1	-12345	-12345	2396.4	1036270	1	HHN	cmg-6t-30s.paz		
AUDHS	H	20150824	25991231	130.833	-12.44	S1	-12345	-12345	2394.6	1038420	1	HHZ	cmg-6t-30s.paz		
AUGRF	H	20190218	25991231	146.059	-34.2858	S1	-12345	-12345	2391.8	1046030	1	HHE	cmg-6t-30s.paz		
AUGRF	H	20190218	25991231	146.059	-34.2858	S1	-12345	-12345	2392.6	1036270	1	HHN	cmg-6t-30s.paz		
AUGRF	H	20190218	25991231	146.059	-34.2858	S1	-12345	-12345	2391.6	1038420	1	HHZ	cmg-6t-30s.paz		
AUKAR	H	20130915	25991231	116.8178	-20.752	S1	-12345	-12345	2375.4	973710	1	HHE	cmg-6t-d.paz		
AUKAR	H	20130915	25991231	116.8178	-20.752	S1	-12345	-12345	2383.6	975610	1	HHN	cmg-6t-d.paz		
AUKAR	H	20130915	25991231	116.8178	-20.752	S1	-12345	-12345	2369.4	976563	1	HHZ	cmg-6t-d.paz		
AUKAR	H	20130915	25991231	116.8178	-20.752	S1	-12345	-12345	2375.4	973710	1	EHE	cmg-6t-d.paz		
AUKAR	H	20130915	25991231	116.8178	-20.752	S1	-12345	-12345	2383.6	975610	1	EHN	cmg-6t-d.paz		
AUKAR	H	20130915	25991231	116.8178	-20.752	S1	-12345	-12345	2369.4	976563	1	EHZ	cmg-6t-d.paz		
AUKSC	H	20130524	25991231	145.1584	-37.9684	S1	-12345	-12345	2393	1042750	1	HHE	cmg-6t-d.paz		
AUKSC	H	20130524	25991231	145.1584	-37.9684	S1	-12345	-12345	2388.6	1042750	1	HHN	cmg-6t-d.paz		
AUKSC	H	20130524	25991231	145.1584	-37.9684	S1	-12345	-12345	2391.6	1041670	1	HHZ	cmg-6t-d.paz		
AUMAG	H	20130524	25991231	144.7482	-36.1016	S1	-12345	-12345	2387.2	1037340	1	HHE	cmg-6t-d.paz		
AUMAG	H	20130524	25991231	144.7482	-36.1016	S1	-12345	-12345	2391.2	1041670	1	HHN	cmg-6t-d.paz		
AUMAG	H	20130524	25991231	144.7482	-36.1016	S1	-12345	-12345	2397.6	1034130	1	HHZ	cmg-6t-d.paz		
AUMAZ	H	20130909	25991231	116.0384	-32.0069	S1	-12345	-12345	2393.6	1038420	1	HHE	cmg-6t-d.paz		
AUMAZ	H	20130909	25991231	116.0384	-32.0069	S1	-12345	-12345	2396	1047120	1	HHN	cmg-6t-d.paz		
AUMAZ	H	20130909	25991231	116.0384	-32.0069	S1	-12345	-12345	2390.4	1037340	1	HHZ	cmg-6t-d.paz		
AUMAZ	H	20130909	25991231	116.0384	-32.0069	S1	-12345	-12345	2393.6	1038420	1	EHE	cmg-6t-d.paz		
AUMAZ	H	20130909	25991231	116.0384	-32.0069	S1	-12345	-12345	2396	1047120	1	EHN	cmg-6t-d.paz		
AUMAZ	H	20130909	25991231	116.0384	-32.0069	S1	-12345	-12345	2390.4	1037340	1	EHZ	cmg-6t-d.paz		
AUMBR	H	20130909	25991231	139.2859	-35.134	S1	-12345	-12345	2389.4	1040580	1	HHE	cmg-6t-d.paz		
AUMBR	H	20130909	25991231	139.2859	-35.134	S1	-12345	-12345	2382.8	1043840	1	HHN	cmg-6t-d.paz		
AUMBR	H	20130909	25991231	139.2859	-35.134	S1	-12345	-12345	2394.8	1036270	1	HHZ	cmg-6t-d.paz		
AUMTC	H	20130524	25991231	143.8771	-37.6089	S1	-12345	-12345	2392.8	1039500	1	HHE	cmg-6t-d.paz		
AUMTC	H	20130524	25991231	143.8771	-37.6089	S1	-12345	-12345	2390.6	1038420	1	HHN	cmg-6t-d.paz		
AUMTC	H	20130524	25991231	143.8771	-37.6089	S1	-12345	-12345	2393.8	1042750	1	HHZ	cmg-6t-d.paz		
AUNHS	H	20130828	25991231	136.7832	-12.1874	S1	-12345	-12345	2384.6	1029870	1	HHE	cmg-6t-30s.paz		
AUNHS	H	20130828	25991231	136.7832	-12.1874	S1	-12345	-12345	2397.4	1047120	1	HHN	cmg-6t-30s.paz		
AUNHS	H	20130828	25991231	136.7832	-12.1874	S1	-12345	-12345	2391.4	1041700	1	HHZ	cmg-6t-30s.paz		
AUHAR	H	20140409	25991231	115.8912	-33.0927	S1	-12345	-12345	2394	1037340	1	HHE	cmg-6t-d.paz		
AUHAR	H	20140409	25991231	115.8912	-33.0927	S1	-12345	-12345	2392	1038420	1	HHN	cmg-6t-d.paz		
AUHAR	H	20140409	25991231	115.8912	-33.0927	S1	-12345	-12345	2388	1033060	1	HHZ	cmg-6t-d.paz		
AUHAR	H	20140409	25991231	115.8912	-33.0927	S1	-12345	-12345	2394	1037340	1	EHE	cmg-6t-d.paz		
AUHAR	H	20140409	25991231	115.8912	-33.0927	S1	-12345	-12345	2392	1038420	1	EHN	cmg-6t-d.paz		
AUHAR	H	20140409	25991231	115.8912	-33.0927	S1	-12345	-12345	2388	1033060	1	EHZ	cmg-6t-d.paz		
AUJCS	H	20120411	25991231	138.6098	-33.2047	S1	-12345	-12345	2394	1038420	1	HHE	cmg-6t-30s.paz		
AUJCS	H	20120411	25991231	138.6098	-33.2047	S1	-12345	-12345	2394.6	1040580	1	HHN	cmg-6t-30s.paz		
AUJCS	H	20120411	25991231	138.6098	-33.2047	S1	-12345	-12345	2394.6	1040580	1	HHZ	cmg-6t-30s.paz		
AULHS	H	20131031	25991231	147.215	-41.2519	S1	-12345	-12345	2396	1037340	1	HHE	cmg-6t-d.paz		
AULHS	H	20131031	25991231	147.215	-41.2519	S1	-12345	-12345	2392.2	1036270	1	HHN	cmg-6t-d.paz		
AULHS	H	20131031	25991231	147.215	-41.2519	S1	-12345	-12345	2393.6	1037340	1	HHZ	cmg-6t-d.paz		
AUMHS	H	20120411	25991231	149.0888	-35.3635	S1	-12345	-12345	2379.2	956023	1	HHE	cmg-6t-30s.paz		
AUMHS	H	20120411	25991231	149.0888	-35.3635	S1	-12345	-12345	2378.6	955110	1	HHN	cmg-6t-30s.paz		
AUMHS	H	20120411	25991231	149.0888	-35.3635	S1	-12345	-12345	2379.8	958773	1	HHZ	cmg-6t-30s.paz		
AUMTS	H	20110504	25991231	148.9964	-35.3188	S1	-12345	-12345	2381.8	913242	1	HHE	cmg-6t-d.paz		
AUMTS	H	20110504	25991231	148.9964	-35.3188	S1	-12345	-12345	2381.8	913242	1	HHN	cmg-6t-d.paz		
AUMTS	H	20110504	25991231	148.9964	-35.3188	S1	-12345	-12345	2381.8	913242	1	HHZ	cmg-6t-d.paz		
AUPHS	H	20130530	25991231	150.8943	-31.099	S1	-12345	-12345	2396.6	1039500	1	HHE	cmg-6t-d.paz		
AUPHS	H	20130530	25991231	150.8943	-31.099	S1	-12345	-12345	2396.2	1039500	1	HHN	cmg-6t-d.paz		
AUPHS	H	20130530	25991231	150.8943	-31.099	S1	-12345	-12345	2393.2	1039500	1	HHZ	cmg-6t-d.paz		
AUPKL	H	20161125	25991231	145.9011	-41.0809	S1	-12345	-12345	2388	1040580	1	HHE	cmg-6t-d.paz		
AUPKL	H	20161125	25991231	145.9011	-41.0809	S1	-12345	-12345	2398	1038420	1	HHN	cmg-6t-d.paz		
AUPKL	H	20161125	25991231	145.9011	-41.0809	S1	-12345	-12345	2392	1042750	1	HHZ	cmg-6t-d.paz		
AURSC	B	20220506	25991231	144.8866	-38.368	S1	-12345	-12345	2397.8	1038420	1	HHE	cmg-6t-d.paz		
AURSC	B	20220506	25991231	144.8866	-38.368	S1	-12345	-12345	2392.4	1033060	1	HHN	cmg-6t-d.paz		
AURSC	B	20220506	25991231	144.8866	-38.368	S1	-12345	-12345	2390.8	1037340	1	HHZ	cmg-6t-d.paz		
AUSIS	H	20110504	25991231	149.1147	-35.2839	S1	-12345	-12345	2401.6	1037340	1	HHE	cmg-6t-d.paz		
AUSIS	H	20110504	25991231	149.1147	-35.2839	S1	-12345	-12345	2410.6	1040580	1	HHN	cmg-6t-d.paz		
AUSIS	H	20110504	25991231	149.1147	-35.2839	S1	-12345	-12345	2397	1040580	1	HHZ	cmg-6t-d.paz		
AUSIS	B	20110504	25991231	149.1147	-35.2839	S1	-12345	-12345	2401.6	1037340	1	BHE	cmg-6t-d.paz		
AUSIS	B	20110504	25991231	149.1147	-35.2839	S1	-12345	-12345	2410.6	1040580	1	BHN	cmg-6t-d.paz		
AUSIS	B	20110504	25991231	149.1147	-35.2839	S1	-12345	-12345	2397	1040580	1	BHZ	cmg-6t-d.paz		
AUSSC	B	20220714	25991231	147.0825	-38.0977	S1	-12345	-12345	2362.8	1038420	1	HHE	cmg-6t-d.paz		
AUSSC	B	20220714	25991231	147.0825	-38.0977	S1	-12345	-12345	2363.6	1038420	1	HHN	cmg-6t-d.paz		
AUSSC	B	20220714	25991231	147.0825	-38.0977	S1	-12345	-12345	2390.8	1041670	1	HHZ	cmg-6t-d.paz		
AUTAR	H	20131101	25991231	147.3551	-42.9425	S1	-12345	-12345	2384.8	1040580	1	HHE	cmg-6t-d.paz		
AUTAR	H	20131101	25991231	147.3551	-42.9425	S1	-12345	-12345	2395.6	1038420	1	HHN	cmg-6t-d.paz		
AUTAR	H	20131101	25991231	147.3551	-42.9425	S1	-12345	-12345	2388.8	1035200	1	HHZ	cmg-6t-d.paz		
AUUHS	B	20130915	25991231	150.4696	-35.3589	S1	-12345	-12345	2400.4	1037340	1	HHE	cmg-6t-d.paz		
AUUHS	B	20130915	25991231	150.4696	-35.3589	S1	-12345	-12345	2397	1040580	1	HHN	cmg-6t-d.paz		
AUUHS	B	20130915	25991231	150.4696	-35.3589	S1	-12345	-12345	2402.4	1040580	1	HHZ	cmg-6t-d.paz		
ABE	E	19810211	19930506	146.389	-37.719	MEL	2	0.61	104	21000	100	EHE	s6000-2hz.paz		
ABE	E	19810211	19930506	146.389	-37.719	MEL	1.92	0.61	106	21000	100	EHN	s6000-2hz.paz		
ABE	E	19810211	19930506	146.389	-37.719	MEL	2.17	0.61	107	21000	100	EHZ	s6000-2hz.paz		
ABE	E	19930506	25990101	146.389	-37.719	MEL	2	0.61	104	838860.8	1	EHE	s6000-2hz.paz		
ABE	E	19930506	25990101	146.389	-37.719	MEL	1.92	0.61	106	838860.8	1	EHN	s6000-2hz.paz		
ABE	E	19930506	25990101	146.389	-37.719	MEL	2.17	0.61	107	838860.8	1	EHZ	s6000-2hz.paz		
ABEM	E	19810211	19930506	146.389	-37.719	MEL	2	0.61	104	21000	100	EHE	s6000-2hz.paz		
ABEM	E	19810211	19930506	146.389	-37.719	MEL	1.92	0.61	106	21000	100	EHN	s6000-2hz.paz		
ABEM	E	19810211	19930506	146.389	-37.719	MEL	2.17	0.61	107	21000	100	EHZ	s6000-2hz.paz		
ABEM	E	19930506	25990101	146.389	-37.719	MEL	2	0.61	104	838860.8	1	EHE	s6000-2hz.paz		
ABEM	E	19930506	25990101	146.389	-37.719	MEL	1.92	0.61	106	838860.8	1	EHN	s6000-2hz.paz		
ABEM	E	19930506	25990101	146.389	-37.719	MEL	2.17	0.61	107	838860.8	1	EHZ	s6000-2hz.paz		
ANSTO	E	20131007	25990101	150.98	-34.05	MEL	-12345	-12345	1209	838860.813	1	EHE	cmg-6t-1s.paz		
ANSTO	E	20131007	25990101	150.98	-34.05	MEL	-12345	-12345	1196	838860.813	1	EHN	cmg-6t-1s.paz		
ANSTO	E	20131007	25990101	150.98	-34.05	MEL	-12345	-12345	1200	838860.813	1	EHZ	cmg-6t-1s.paz		
ANSTO	N	20131007	25990101	150.98	-34.05	MEL	-12345	-12345	0.51	838860.813	1	HNE	cmg-5t.paz		
ANSTO	N	20131007	25990101	150.98	-34.05	MEL	-12345	-12345	0.51	838860.813	1	HNN	cmg-5t.paz		
ANSTO	N	20131007	25990101	150.98	-34.05	MEL	-12345	-12345	0.51	838860.813	1	HNZ	cmg-5t.paz		
APN	E	19920511	19980627	150.823	-34.17	MEL	1.56	0.61	189.08	838860.8	1	EHE	s6000-2hz.paz		
APN	E	19920511	19980627	150.823	-34.17	MEL	1.56	0.61	189.12	838860.8	1	EHN	s6000-2hz.paz		
APN	E	19920511	19980627	150.823	-34.17	MEL	1.67	0.61	194.2	838860.8	1	EHZ	s6000-2hz.paz		
AVD	E	19920803	19950613	150.615	-34.376	MEL	1.56	0.61	188.4	6553.6	100	EHE	s6000-2hz.paz		
AVD	E	19920803	19950613	150.615	-34.376	MEL	1.55	0.61	188.8	6553.6	100	EHN	s6000-2hz.paz		
AVD	E	19920803	19950613	150.615	-34.376	MEL	1.52	0.61	188.5	6553.6	100	EHZ	s6000-2hz.paz		
AVD	N	19920803	19950613	150.615	-34.376	MEL	0.001	1	0.502	6553.6	1	HNE	cmg-5t.paz		
AVD	N	19920803	19950613	150.615	-34.376	MEL	0.001	1	0.51	6553.6	1	HNN	cmg-5t.paz		
AVD	N	19920803	19950613	150.615	-34.376	MEL	0.001	1	0.494	6553.6	1	HNZ	cmg-5t.paz		
AVO	E	19950613	25990101	150.615	-34.376	MEL	1.56	0.61	188.4	6553.6	100	EHE	s6000-2hz.paz		
AVO	E	19950613	25990101	150.615	-34.376	MEL	1.55	0.61	188.8	6553.6	100	EHN	s6000-2hz.paz		
AVO	E	19950613	25990101	150.615	-34.376	MEL	1.52	0.61	188.5	6553.6	100	EHZ	s6000-2hz.paz		
AVO	N	19950613	25990101	150.615	-34.376	MEL	0.001	1	0.502	6553.6	1	HNE	cmg-5t.paz		
AVO	N	19950613	25990101	150.615	-34.376	MEL	0.001	1	0.51	6553.6	1	HNN	cmg-5t.paz		
AVO	N	19950613	25990101	150.615	-34.376	MEL	0.001	1	0.494	6553.6	1	HNZ	cmg-5t.paz		
AWOON	E	20090429	25990101	151.31468	-24.07732	MEL	-12345	-12345	2014	314572.75	1	EHE	cmg-6t-1s.paz		
AWOON	E	20090429	25990101	151.31468	-24.07732	MEL	-12345	-12345	1978	314572.75	1	EHN	cmg-6t-1s.paz		
AWOON	E	20090429	25990101	151.31468	-24.07732	MEL	-12345	-12345	2016	314572.75	1	EHZ	cmg-6t-1s.paz		
AWOON	H	20090429	25990101	151.31468	-24.07732	MEL	-12345	-12345	0.204	1677721.625	1	HNE	NULL		
AWOON	H	20090429	25990101	151.31468	-24.07732	MEL	-12345	-12345	0.204	1677721.625	1	HNN	NULL		
AWOON	H	20090429	25990101	151.31468	-24.07732	MEL	-12345	-12345	0.204	1677721.625	1	HNZ	NULL		
AXZ	E	20000101	25990101	169.331	-45.267	GNS	1	0.67	179	209643.6	3	EHE	NULL		
AXZ	E	20000101	25990101	169.331	-45.267	GNS	1	0.67	179	209643.6	3	EHN	NULL		
AXZ	E	20000101	25990101	169.331	-45.267	GNS	1	0.67	179	209643.6	3	EHZ	NULL		
BANM	E	19960318	25990101	144.25	-38.052	MEL	1.56	0.61	190.7	6553.6	100	EHE	s6000-2hz.pazL		
BANM	E	19960318	25990101	144.25	-38.052	MEL	1.61	0.61	189	6553.6	100	EHN	s6000-2hz.pazL		
BANM	E	19960318	25990101	144.25	-38.052	MEL	1.61	0.61	190.9	6553.6	100	EHZ	s6000-2hz.pazL		
BANM	N	19960318	25990101	144.25	-38.052	MEL	0.001	1	0.5	6553.6	1	HNE	hsa-3.paz		
BANM	N	19960318	25990101	144.25	-38.052	MEL	0.001	1	0.5	6553.6	1	HNN	hsa-3.paz		
BANM	N	19960318	25990101	144.25	-38.052	MEL	0.001	1	0.5	6553.6	1	HNZ	hsa-3.paz		
BBW	E	20000101	25990101	173.878	-41.713	GNS	1	0.67	179	209643.6	9	EHZ	NULL		
BEL	E	19880927	19960927	146.378	-37.761	MEL	2	0.61	104	21000	100	EHE	s6000-2hz.paz	# Yerrilla digitizer	
BEL	E	19880927	19960927	146.378	-37.761	MEL	1.92	0.61	106	21000	100	EHN	s6000-2hz.paz		
BEL	E	19880927	19960927	146.378	-37.761	MEL	2.17	0.61	107	21000	100	EHZ	s6000-2hz.paz		
BEL	N	19960927	19961005	146.378	-37.761	MEL	0.001	1	0.5	838860.8	1	HNE	hsa-3.paz		
BEL	N	19960927	19961005	146.378	-37.761	MEL	0.001	1	0.5	838860.8	1	HNN	hsa-3.paz		
BEL	N	19960927	19961005	146.378	-37.761	MEL	0.001	1	0.5	838860.8	1	HNZ	hsa-3.paz		
BFZ	E	20000101	25990101	176.246	-40.682	GNS	1	0.67	179	209643.6	2	EHE	NULL		
BFZ	E	20000101	25990101	176.246	-40.682	GNS	1	0.67	179	209643.6	2	EHN	NULL		
BFZ	E	20000101	25990101	176.246	-40.682	GNS	1	0.67	179	209643.6	2	EHZ	NULL		
BHW	E	20000101	25990101	174.871	-41.409	GNS	1	0.67	179	209643.6	9	EHZ	NULL		
BJE	E	19950425	19960214	148.646	-34.951	MEL	1	0.62	192.7	6553.6	100	EHE	mark-L4C-3D.paz		
BJE	E	19950425	19960214	148.646	-34.951	MEL	0.98	0.62	195.33	6553.6	100	EHN	mark-L4C-3D.paz		
BJE	E	19950425	19960214	148.646	-34.951	MEL	0.98	0.62	192.46	6553.6	100	EHZ	mark-L4C-3D.paz		
BJE	N	19950425	19960214	148.646	-34.951	MEL	0.001	1	0.508	6553.6	1	HNE	cmg-5t.paz		
BJE	N	19950425	19960214	148.646	-34.951	MEL	0.001	1	0.504	6553.6	1	HNN	cmg-5t.paz		
BJE	N	19950425	19960214	148.646	-34.951	MEL	0.001	1	0.506	6553.6	1	HNZ	cmg-5t.paz		
BJE	E	19960214	25990101	148.646	-34.951	MEL	1	0.62	192.7	6553.6	100	EHZ	mark-L4C-3D.paz		
BJE	E	19960214	25990101	148.646	-34.951	MEL	0.98	0.62	195.33	6553.6	100	EHZ	mark-L4C-3D.paz		
BJE	E	19960214	25990101	148.646	-34.951	MEL	0.98	0.62	192.46	6553.6	100	EHZ	mark-L4C-3D.paz		
BJE	N	19960214	25990101	148.646	-34.951	MEL	0.001	1	0.508	6553.6	1	HNE	cmg-5t.paz		
BJE	N	19960214	25990101	148.646	-34.951	MEL	0.001	1	0.504	6553.6	1	HNN	cmg-5t.paz		
BJE	N	19960214	25990101	148.646	-34.951	MEL	0.001	1	0.506	6553.6	1	HNZ	cmg-5t.paz		
BJEM	E	19950425	19960214	148.646	-34.951	MEL	1	0.62	192.7	6553.6	100	EHE	mark-L4C-3D.paz		
BJEM	E	19950425	19960214	148.646	-34.951	MEL	0.98	0.62	195.33	6553.6	100	EHN	mark-L4C-3D.paz		
BJEM	E	19950425	19960214	148.646	-34.951	MEL	0.98	0.62	192.46	6553.6	100	EHZ	mark-L4C-3D.paz		
BJEM	N	19950425	19960214	148.646	-34.951	MEL	0.001	1	0.508	6553.6	1	HNE	cmg-5t.paz		
BJEM	N	19950425	19960214	148.646	-34.951	MEL	0.001	1	0.504	6553.6	1	HNN	cmg-5t.paz		
BJEM	N	19950425	19960214	148.646	-34.951	MEL	0.001	1	0.506	6553.6	1	HNZ	cmg-5t.paz		
BJEM	E	19960214	25990101	148.646	-34.951	MEL	1	0.62	192.7	6553.6	100	EHZ	mark-L4C-3D.paz		
BJEM	E	19960214	25990101	148.646	-34.951	MEL	0.98	0.62	195.33	6553.6	100	EHZ	mark-L4C-3D.paz		
BJEM	E	19960214	25990101	148.646	-34.951	MEL	0.98	0.62	192.46	6553.6	100	EHZ	mark-L4C-3D.paz		
BJEM	N	19960214	25990101	148.646	-34.951	MEL	0.001	1	0.508	6553.6	1	HNE	cmg-5t.paz		
BJEM	N	19960214	25990101	148.646	-34.951	MEL	0.001	1	0.504	6553.6	1	HNN	cmg-5t.paz		
BJEM	N	19960214	25990101	148.646	-34.951	MEL	0.001	1	0.506	6553.6	1	HNZ	cmg-5t.paz		
#BK1	N	20011005	20021122	116.997	-30.519	AU	0.001	1	1.0152	419430.4	1	HNE	cmg-5t.paz	# commented 2021-07-20	
#BK1	N	20011005	20021122	116.997	-30.519	AU	0.001	1	1.0162	419430.4	1	HNN	cmg-5t.paz		
#BK1	N	20011005	20021122	116.997	-30.519	AU	0.001	1	1.012	419430.4	1	HNZ	cmg-5t.paz		
#BK1	E	20011005	20021122	116.997	-30.519	AU	1	0.707	2006	419430.4	1	EHE	cmg-40t-1s.paz		
#BK1	E	20011005	20021122	116.997	-30.519	AU	1	0.707	1986	419430.4	1	EHN	cmg-40t-1s.paz		
#BK1	E	20011005	20021122	116.997	-30.519	AU	1	0.707	1996	419430.4	1	EHZ	cmg-40t-1s.paz		
BK1	N	20011005	20021122	116.997	-30.519	AU	0.001	1	1.0152	419430.4	1	HNE	cmg-5t.paz		
BK1	N	20011005	20021122	116.997	-30.519	AU	0.001	1	1.0162	419430.4	1	HNN	cmg-5t.paz		
BK1	N	20011005	20021122	116.997	-30.519	AU	0.001	1	1.012	419430.4	1	HNZ	cmg-5t.paz		
BK1	E	20011005	20021122	116.997	-30.519	AU	1	0.707	2006	419430.4	1	EHE	cmg-40t-1s.paz		
BK1	E	20011005	20021122	116.997	-30.519	AU	1	0.707	1986	419430.4	1	EHN	cmg-40t-1s.paz		
BK1	E	20011005	20021122	116.997	-30.519	AU	1	0.707	1996	419430.4	1	EHZ	cmg-40t-1s.paz		
BK2	E	20011005	20011019	116.944	-30.451	AU	1	0.707	171	419430.4	1	EHE	mark-L4C-3D.paz		
BK2	E	20011005	20011019	116.944	-30.451	AU	1	0.707	171	419430.4	1	EHN	mark-L4C-3D.paz		
BK2	E	20011005	20011019	116.944	-30.451	AU	1	0.707	171	419430.4	1	EHZ	mark-L4C-3D.paz		
BK2	N	20011022	20011122	116.944	-30.451	AU	0.001	1	1.0152	419430.4	1	HNE	cmg-5t.paz	# commented 2021-07-20	
BK2	N	20011022	20011122	116.944	-30.451	AU	0.001	1	1.0162	419430.4	1	HNN	cmg-5t.paz		
BK2	N	20011022	20011122	116.944	-30.451	AU	0.001	1	1.012	419430.4	1	HNZ	cmg-5t.paz		
BK2	E	20011022	20011122	116.944	-30.451	AU	1	0.707	2006	419430.4	1	EHE	cmg-40t-1s.paz		
BK2	E	20011022	20011122	116.944	-30.451	AU	1	0.707	1986	419430.4	1	EHN	cmg-40t-1s.paz		
BK2	E	20011022	20011122	116.944	-30.451	AU	1	0.707	1996	419430.4	1	EHZ	cmg-40t-1s.paz		
BK3	E	20011005	20011204	117.103	-30.244	AU	2	0.6	127.5	838860.8	10	EHE	s6000-2hz.paz		
BK3	E	20011005	20011204	117.103	-30.244	AU	2	0.6	127.5	838860.8	10	EHN	s6000-2hz.paz		
BK3	E	20011005	20011204	117.103	-30.244	AU	2	0.6	127.5	838860.8	10	EHZ	s6000-2hz.paz		
BK3	N	20011005	20011204	117.103	-30.244	AU	0.001	1	0.51	838860.8	1	HNE	hsa-3.paz		
BK3	N	20011005	20011204	117.103	-30.244	AU	0.001	1	0.51	838860.8	1	HNN	hsa-3.paz		
BK3	N	20011005	20011204	117.103	-30.244	AU	0.001	1	0.51	838860.8	1	HNZ	hsa-3.paz		
BK4	N	20011009	20021122	117.103	-30.474	AU	0.001	1	0.51	838860.8	1	HNE	hsa-3.paz		
BK4	N	20011009	20021122	117.103	-30.474	AU	0.001	1	0.51	838860.8	1	HNN	hsa-3.paz		
BK4	N	20011009	20021122	117.103	-30.474	AU	0.001	1	0.51	838860.8	1	HNZ	hsa-3.paz		
BK5	N	20020327	20020808	117.122	-30.519	AU	0.001	1	0.51	838860.8	1	HNE	hsa-3.paz	# assumed gain = 1 (10 in spreadsheet)	
BK5	N	20020327	20020808	117.122	-30.519	AU	0.001	1	0.51	838860.8	1	HNN	hsa-3.paz		
BK5	N	20020327	20020808	117.122	-30.519	AU	0.001	1	0.51	838860.8	1	HNZ	hsa-3.paz		
BK6	N	20020327	20020807	117.085	-30.516	AU	0.001	1	1.0254	419430.4	8	HNE	cmg-5t.paz		
BK6	N	20020327	20020807	117.085	-30.516	AU	0.001	1	1.0208	419430.4	8	HNN	cmg-5t.paz		
BK6	N	20020327	20020807	117.085	-30.516	AU	0.001	1	1.0188	419430.4	8	HNZ	cmg-5t.paz		
BK7	N	20020327	20020807	117.181	-30.46	AU	0.001	1	1.0152	419430.4	8	HNE	cmg-5t.paz		
BK7	N	20020327	20020807	117.181	-30.46	AU	0.001	1	1.0162	419430.4	8	HNN	cmg-5t.paz		
BK7	N	20020327	20020807	117.181	-30.46	AU	0.001	1	1.0198	419430.4	8	HNZ	cmg-5t.paz		
BK8	N	20020327	20020807	117.22	-30.58	AU	0.001	1	1	838860.6	8	HNE	cmg-5t.paz		
BK8	N	20020327	20020807	117.22	-30.58	AU	0.001	1	1.04	838860.6	8	HNN	cmg-5t.paz		
BK8	N	20020327	20020807	117.22	-30.58	AU	0.001	1	1.02	838860.6	8	HNZ	cmg-5t.paz		
BK9	E	20020221	20020327	116.981	-30.631	AU	1	0.707	2000	419430.4	4	EHE	cmg-40t-1s.paz	# gain based on journal	
BK9	E	20020221	20020327	116.981	-30.631	AU	1	0.707	2004	419430.4	4	EHN	cmg-40t-1s.paz		
BK9	E	20020221	20020327	116.981	-30.631	AU	1	0.707	2002	419430.4	4	EHZ	cmg-40t-1s.paz		
BK9	E	20020327	20020807	116.981	-30.631	AU	1	0.707	2000	419430.4	4	EHE	cmg-40t-1s.paz	# guess gain	
BK9	E	20020327	20020807	116.981	-30.631	AU	1	0.707	2004	419430.4	4	EHN	cmg-40t-1s.paz		
BK9	E	20020327	20020807	116.981	-30.631	AU	1	0.707	2002	419430.4	4	EHZ	cmg-40t-1s.paz		
BK10	N	20020613	20020807	117.107	-30.487	AU	0.001	1	0.51	838860.8	1	HNE	hsa-3.paz		
BK10	N	20020613	20020807	117.107	-30.487	AU	0.001	1	0.51	838860.8	1	HNN	hsa-3.paz		
BK10	N	20020613	20020807	117.107	-30.487	AU	0.001	1	0.51	838860.8	1	HNZ	hsa-3.paz		
BLW	E	20000101	25990101	175.475	-41.369	GNS	1	0.67	179	209643.6	9	EHZ	NULL		
